,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,chainbreaker runtime,copkmeans runtime,kmeans runtime
0,0.13,20,0.04,0.04,1000000000,0.7246632750029676,0.004753630011691712,0.019021439002244733
0,0.13,25,0.04,0.04,1000000000,1.1123084110004129,0.006085344997700304,0.027817492999020033
0,0.13,25,0.04,0.04,1000000000,1.1091466789948754,0.005908881008508615,0.020100484995055012
0,0.13,25,0.04,0.04,1000000000,1.1367541670042556,0.005901412994717248,0.019726492988411337
0,0.13,25,0.04,0.04,1000000000,1.1319429429859156,0.00584893100312911,0.019907809008145705
0,0.13,25,0.04,0.04,1000000000,1.1293303479906172,0.005732024001190439,0.019468847996904515
0,0.13,25,0.04,0.04,1000000000,1.1255286829982651,0.0059162800025660545,0.01987719800672494
0,0.13,25,0.04,0.04,1000000000,1.135835118999239,0.00574363800114952,0.019911267998395488
0,0.13,25,0.04,0.04,1000000000,1.1660586430080002,0.006008921991451643,0.01995319600973744
0,0.13,25,0.04,0.04,1000000000,1.1290902030013967,0.005796167009975761,0.047635292998165824
0,0.13,25,0.04,0.04,1000000000,1.1485761450021528,0.005720138011383824,0.018943696006317623
0,0.13,25,0.04,0.04,1000000000,1.137173659997643,0.005687497992767021,0.019155579997459427
0,0.13,25,0.04,0.04,1000000000,1.1272738890111214,0.00567062699701637,0.019028484006412327
0,0.13,25,0.04,0.04,1000000000,1.115177557003335,0.005734680991736241,0.018919197013019584
0,0.13,25,0.04,0.04,1000000000,1.1161057540011825,0.005840300000272691,0.01934439199976623
0,0.13,25,0.04,0.04,1000000000,1.118031220001285,0.006234198997844942,0.02655013599724043
0,0.13,25,0.04,0.04,1000000000,1.112725170009071,0.005878580006537959,0.027708912995876744
0,0.13,25,0.04,0.04,1000000000,1.1037145829905057,0.005896426999242976,0.020086254997295327
0,0.13,25,0.04,0.04,1000000000,1.1538692070025718,0.005909794999752194,0.019936306998715736
0,0.13,25,0.04,0.04,1000000000,1.1253069719969062,0.005761699998402037,0.019746723002754152
0,0.13,25,0.04,0.04,1000000000,1.1243900270055747,0.005823533996590413,0.019468697006232105
0,0.13,50,0.04,0.04,1000000000,4.438762129997485,0.010449911002069712,0.019464940996840596
0,0.13,50,0.04,0.04,1000000000,4.373989953004639,0.010509862011531368,0.019371440997929312
0,0.13,50,0.04,0.04,1000000000,4.3526860940037295,0.010918029001913965,0.02630881199729629
0,0.13,50,0.04,0.04,1000000000,4.34840700001223,0.010558902999036945,0.01980977899802383
0,0.13,50,0.04,0.04,1000000000,4.440963412998826,0.01049575700017158,0.01985250599682331
0,0.13,50,0.04,0.04,1000000000,4.437048210995272,0.01036534400191158,0.01995984499808401
0,0.13,50,0.04,0.04,1000000000,4.39902838600392,0.010531692008953542,0.019821248002699576
0,0.13,50,0.04,0.04,1000000000,4.444853189997957,0.010782426994410343,0.020024302997626364
0,0.13,50,0.04,0.04,1000000000,4.337311492010485,0.010766717008664273,0.020087398996111006
